upc,item,brand,pack_type,total_sales,total_units,weeks_observed,promo_weeks,avg_aup,promo_week_pct
200042158786,CTL BR DRNK WTR BTL 40PK 16.9 FL OZ,PRIVATE LABEL,MULTI PACK,25579734.62785739,4780306.922761851,60,7,5.3686751328148,0.11666666666666667
7514000515,CRYS GYS CG RXN SRC ALPN SPRN SPRN WTR BTL 128 FL OZ,CRYSTAL GEYSER (CG ROXANE LLC),SINGLE PACK,15953337.661558973,10744870.596200952,60,1,1.4867296554928797,0.016666666666666666
200077939964,CTL BR DRNK WTR BTL 40PK 16.9 FL OZ,PRIVATE LABEL,MULTI PACK,12721220.018051257,2561203.3580017663,60,0,4.966669554989879,0.0
200028562169,CTL BR DRNK WTR BTL 40PK 16.9 FL OZ,PRIVATE LABEL,MULTI PACK,9105976.556331169,2288336.102657919,60,0,3.9787573648993604,0.0
7514035001,CRYS GYS ALPN SPRN WTR BTL 35PK 16.9 FL OZ,CRYSTAL GEYSER (CG ROXANE LLC),MULTI PACK,8917661.293128317,1449478.951289938,60,4,6.159293705292634,0.06666666666666667
7114200400,ARWH MNTN SPRN WTR BTL 24PK 16.9 FL OZ,ARROWHEAD (PRIMO BRANDS CORPORATION),MULTI PACK,7298197.137255993,1277367.0671005442,60,19,5.729786778054891,0.31666666666666665
200205694247,CTL BR DRNK WTR BTL 40PK 16.9 FL OZ,PRIVATE LABEL,MULTI PACK,6978239.45244241,1467252.7013341181,59,0,4.749274157918314,0.0
200029055192,CTL BR DRNK WTR BTL 24PK 16.9 FL OZ,PRIVATE LABEL,MULTI PACK,6976619.650238185,2186347.57971273,60,0,3.1941224799933203,0.0
4900003165,DSN DRNK WTR BTL 24PK 16.9 FL OZ,DASANI (COCA-COLA COMPANY),MULTI PACK,5519459.151749142,953568.5612825988,60,21,5.84896688557484,0.35
7514024514,CRYS GYS ALPN SPRN WTR BTL 24PK 16.9 FL OZ,CRYSTAL GEYSER (CG ROXANE LLC),MULTI PACK,5399228.474246795,1079203.0730688025,60,1,5.010809372968597,0.016666666666666666
1200001311,AQFN DRNK WTR BTL 32PK 16.9 FL OZ,AQUAFINA (PEPSI COLA CO/DIV PEPSICO INC),MULTI PACK,5189618.387489562,777008.1795820872,60,2,6.682603212842252,0.03333333333333333
2754100123,NGR DRNK WTR BTL 24PK 16.9 FL OZ,NIAGARA (NIAGARA DRINKING WATERS INC),MULTI PACK,4281692.914101852,1432410.8280799682,60,1,3.0283389180024662,0.016666666666666666
6827466931,PR LF DRNK WTR BTL 35PK 16.9 FL OZ,PURE LIFE (PRIMO BRANDS CORPORATION),MULTI PACK,4122183.651344342,701194.1900034322,60,12,5.910226240958605,0.2
200042256111,CTL BR DRNK WTR BTL 35PK 16.9 FL OZ,PRIVATE LABEL,MULTI PACK,4108648.7452544956,949410.2720090875,60,0,4.330064071485688,0.0
7114200009,ARWH MNTN SPRN WTR JUG 320 FL OZ,ARROWHEAD (PRIMO BRANDS CORPORATION),SINGLE PACK,3832498.5493319863,688399.3706735234,60,4,5.572128661028072,0.06666666666666667
